Lottery no,Serial No.,Person
08135,162,Person_08135_162
02147,052,Person_02147_052
06299,060,Person_06299_060
02901,004,Person_02901_004
00532,046,Person_00532_046
05134,151,Person_05134_151
08845,013,Person_08845_013
02314,042,Person_02314_042
02412,160,Person_02412_160
04531,078,Person_04531_078
00480,149,Person_00480_149
02411,095,Person_02411_095
08093,045,Person_08093_045
09735,073,Person_09735_073
02298,045,Person_02298_045
02588,047,Person_02588_047
02456,111,Person_02456_111
02372,006,Person_02372_006
07744,158,Person_07744_158
07282,160,Person_07282_160
02262,164,Person_02262_164
03053,100,Person_03053_100
02594,072,Person_02594_072
03064,057,Person_03064_057
00872,172,Person_00872_172
02724,167,Person_02724_167
07241,053,Person_07241_053
08171,173,Person_08171_173
09008,115,Person_09008_115
01984,146,Person_01984_146
06869,075,Person_06869_075
09551,140,Person_09551_140
08656,028,Person_08656_028
01676,087,Person_01676_087
03075,147,Person_03075_147
07957,075,Person_07957_075
03539,126,Person_03539_126
08809,127,Person_08809_127
04659,058,Person_04659_058
07362,107,Person_07362_107
02630,121,Person_02630_121
06172,071,Person_06172_071
07143,174,Person_07143_174
07327,089,Person_07327_089
07192,075,Person_07192_075
08908,059,Person_08908_059
01046,127,Person_01046_127
03954,155,Person_03954_155
01557,173,Person_01557_173
07127,017,Person_07127_017
00550,107,Person_00550_107
07641,058,Person_07641_058
02641,130,Person_02641_130
01626,109,Person_01626_109
04460,165,Person_04460_165
05601,038,Person_05601_038
07081,169,Person_07081_169
02412,124,Person_02412_124
01656,148,Person_01656_148
09748,114,Person_09748_114
05817,153,Person_05817_153
06533,143,Person_06533_143
06924,073,Person_06924_073
02901,010,Person_02901_010
04280,153,Person_04280_153
01363,051,Person_01363_051
09734,152,Person_09734_152
00867,037,Person_00867_037
03985,002,Person_03985_002
03352,178,Person_03352_178
08224,120,Person_08224_120
06398,179,Person_06398_179
07181,076,Person_07181_076
05142,169,Person_05142_169
01826,172,Person_01826_172
05218,027,Person_05218_027
07960,163,Person_07960_163
06850,036,Person_06850_036
01758,085,Person_01758_085
08028,150,Person_08028_150
04346,015,Person_04346_015
06021,021,Person_06021_021
03538,072,Person_03538_072
06152,170,Person_06152_170
00541,026,Person_00541_026
02221,162,Person_02221_162
01789,102,Person_01789_102
02647,048,Person_02647_048
08005,005,Person_08005_005
01254,079,Person_01254_079
09512,174,Person_09512_174
03857,171,Person_03857_171
06645,178,Person_06645_178
06347,173,Person_06347_173
03936,032,Person_03936_032
03168,149,Person_03168_149
06451,104,Person_06451_104
00456,151,Person_00456_151
07533,131,Person_07533_131
09489,139,Person_09489_139
00957,026,Person_00957_026
04411,068,Person_04411_068
01978,098,Person_01978_098
09568,143,Person_09568_143
09806,160,Person_09806_160
07179,050,Person_07179_050
02648,150,Person_02648_150
03561,144,Person_03561_144
09014,179,Person_09014_179
08150,025,Person_08150_025
06913,060,Person_06913_060
04875,119,Person_04875_119
06939,015,Person_06939_015
05143,026,Person_05143_026
08069,124,Person_08069_124
01509,002,Person_01509_002
07654,060,Person_07654_060
03920,029,Person_03920_029
07198,122,Person_07198_122
05096,166,Person_05096_166
03812,061,Person_03812_061
02126,025,Person_02126_025
04326,055,Person_04326_055
05388,118,Person_05388_118
06703,055,Person_06703_055
07549,047,Person_07549_047
